epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.78,0.8376,1.21136,1.09625,0.88066,0.95425,0.96294,0.78511,0.67959,0.72209,0.9268,0.000555343,0.000555343,0.000555343
2,472.057,0.83228,0.77211,1.07407,0.90521,0.92241,0.97109,0.78556,0.69472,0.58016,0.94953,0.00100102,0.00100102,0.00100102
3,677.47,0.79628,0.66226,1.05095,0.93356,0.96899,0.97654,0.83034,0.57545,0.51275,0.89728,0.00133667,0.00133667,0.00133667
4,871.35,0.75185,0.58414,1.02923,0.95705,0.96045,0.98658,0.85883,0.52789,0.42663,0.86929,0.0011719,0.0011719,0.0011719
5,1084.79,0.69571,0.52593,0.99758,0.95118,0.97414,0.98625,0.86436,0.52626,0.43636,0.86496,0.00100687,0.00100687,0.00100687
6,1280.25,0.65847,0.48299,0.9817,0.95795,0.98191,0.99059,0.87873,0.5064,0.353,0.84947,0.000841835,0.000841835,0.000841835
7,1495.47,0.61938,0.44651,0.95459,0.95426,0.98276,0.99052,0.87623,0.5063,0.35619,0.86024,0.000676802,0.000676802,0.000676802
8,1711.84,0.58919,0.4102,0.94201,0.96378,0.98276,0.99148,0.89436,0.47968,0.30766,0.83824,0.000511769,0.000511769,0.000511769
9,1923.42,0.55589,0.38465,0.92874,0.9737,0.99138,0.99406,0.89886,0.46199,0.28046,0.83183,0.000346736,0.000346736,0.000346736
10,2159.34,0.52961,0.3626,0.91785,0.97819,0.99138,0.99431,0.90256,0.4491,0.26558,0.83231,0.000181703,0.000181703,0.000181703
