epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.955,1.57199,1.94057,1.37835,0.85141,0.73397,0.8213,0.45737,1.45267,1.52467,1.22651,0.000550792,0.000550792,0.000550792
2,73.1648,1.46661,1.41784,1.30265,0.771,0.79602,0.84931,0.47619,1.51029,1.2635,1.25653,0.00099692,0.00099692,0.00099692
3,108.402,1.43053,1.30713,1.30792,0.8648,0.65564,0.79537,0.46023,1.4362,1.22056,1.25683,0.00133302,0.00133302,0.00133302
4,150.78,1.41386,1.20113,1.28666,0.75077,0.84572,0.79723,0.45852,1.42119,1.11003,1.24081,0.0011719,0.0011719,0.0011719
5,187.123,1.31844,1.06556,1.25315,0.92376,0.79056,0.91194,0.56803,1.36843,0.93662,1.22523,0.00100687,0.00100687,0.00100687
6,223.605,1.27169,0.97248,1.2178,0.95118,0.70097,0.87216,0.52867,1.32113,0.87889,1.1888,0.000841835,0.000841835,0.000841835
7,259.42,1.24344,0.91129,1.20011,0.90656,0.88225,0.93673,0.58433,1.28413,0.80939,1.16783,0.000676802,0.000676802,0.000676802
8,295.679,1.17551,0.83266,1.1695,0.91876,0.87392,0.93979,0.54627,1.42165,0.79719,1.18254,0.000511769,0.000511769,0.000511769
9,331.334,1.16532,0.80351,1.15612,0.91125,0.88876,0.93498,0.55403,1.3293,0.79851,1.20143,0.000346736,0.000346736,0.000346736
10,367.214,1.09594,0.75737,1.1234,0.90751,0.88574,0.94283,0.60262,1.25789,0.71267,1.13387,0.000181703,0.000181703,0.000181703
